Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,198,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""LocalAppDataPath""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,189,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""OnlinePresenceName""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,186,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""OnlinePresenceName""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,177,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""DefaultFavouritesFolder""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,174,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""DefaultFavouritesFolder""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,165,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""OnlyShowZipFiles""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,162,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""OnlyShowZipFiles""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,153,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""DeleteToRecycleBin""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,150,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""DeleteToRecycleBin""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,141,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""OverwriteOnCopy""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,138,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""OverwriteOnCopy""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,129,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""MainWindowLocation""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,126,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((global::System.Drawing.Point)(this[""MainWindowLocation""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,117,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""LaunchAsRestart""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,114,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""LaunchAsRestart""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,105,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""LaunchWithCheats""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,102,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""LaunchWithCheats""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,93,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""LaunchWithConsole""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,90,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""LaunchWithConsole""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,81,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""ModFodlerOverride""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,78,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""ModFodlerOverride""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,69,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""AllowDoubleClick""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,66,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""AllowDoubleClick""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,57,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""ModFolderPath""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,54,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""ModFolderPath""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,45,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""GameExePath""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,42,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""GameExePath""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,33,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""UserDataPath""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,30,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""UserDataPath""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,245,23,T:System.Windows.Forms.Button,,,,,btnAddMod
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,244,23,T:System.Windows.Forms.Button,,,,,btnReloadList
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,243,23,T:System.Windows.Forms.Button,,,,,btnClearList
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,242,22,T:System.Windows.Forms.Label,,,,,lblFileCount
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,241,37,T:System.Windows.Forms.ToolStripStatusLabel,,,,,statusBar
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,240,28,T:System.Windows.Forms.StatusStrip,,,,,statusStrip
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,239,23,T:System.Windows.Forms.Button,,,,,btnExit
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,238,23,T:System.Windows.Forms.Button,,,,,btnCreateFolder
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,237,23,T:System.Windows.Forms.Button,,,,,btnNewFolder
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,236,24,T:System.Windows.Forms.TextBox,,,,,txtNewFolder
